auction_date,species,spec_kg,grade,avg_price,min_price,max_price,volume_kg,market,corp,price_per_kg,collected
2026-05-19,뱀장어,1,자연산 상,23232,23232,23232,10,안산,안산수산,23232,2026-08-10
2026-05-27,뱀장어,10,자연산 상,202000,202000,202000,50,안산,안산수산,20200,2026-08-10
2026-06-15,뱀장어,10,자연산 상,207050,207050,207050,50,안산,안산수산,20705,2026-08-10
2026-06-18,뱀장어,1,자연산 상,25253,25253,25253,20,안산,안산수산,25253,2026-08-10
2026-06-19,뱀장어,1,보통,23500,23500,23500,80,대전노은,대전노은진영수산,23500,2026-08-10
2026-06-19,뱀장어,100,자연산 상,2315780,2315780,2315780,100,안산,안산수산,23158,2026-08-10
2026-06-19,뱀장어,1,자연산 상,25252,25252,25252,10,안산,안산수산,25252,2026-08-10
2026-06-20,뱀장어,1,자연산 상,25252,25252,25252,10,안산,안산수산,25252,2026-08-10
2026-06-23,뱀장어,10,자연산 상,209575,207050,212100,80,안산,안산수산,20958,2026-08-10
2026-06-24,뱀장어,500,자연산 상,10526310,10526310,10526310,500,안산,안산수산,21053,2026-08-10
2026-06-24,뱀장어,1,자연산 상,25253,25253,25253,20,안산,안산수산,25253,2026-08-10
2026-06-26,뱀장어,1,보통,23500,23500,23500,45,대전노은,대전노은진영수산,23500,2026-08-10
2026-06-26,뱀장어,10,자연산 상,212100,212100,212100,50,안산,안산수산,21210,2026-08-10
2026-06-27,뱀장어,1,자연산 상,25253,25253,25253,20,안산,안산수산,25253,2026-08-10
2026-06-30,뱀장어,1,자연산 상,25252,25252,25252,10,안산,안산수산,25252,2026-08-10
2026-07-01,뱀장어,400,자연산 상,9263150,9263150,9263150,400,안산,안산수산,23158,2026-08-10
2026-07-01,뱀장어,1,자연산 상,25253,25253,25253,20,안산,안산수산,25253,2026-08-10
2026-07-02,뱀장어,1,자연산 상,25253,25253,25253,20,안산,안산수산,25253,2026-08-10
2026-07-04,뱀장어,1,자연산 상,25252,25252,25252,10,안산,안산수산,25252,2026-08-10
2026-07-06,뱀장어,400,자연산 상,9263150,9263150,9263150,400,안산,안산수산,23158,2026-08-10
2026-07-06,뱀장어,10,자연산 상,212100,212100,212100,100,안산,안산수산,21210,2026-08-10
2026-07-07,뱀장어,500,자연산 상,10526310,10526310,10526310,500,안산,안산수산,21053,2026-08-10
2026-07-07,뱀장어,10,자연산 상,208484,208484,208484,50,안산,안산수산,20848,2026-08-10
2026-07-08,뱀장어,1,자연산 상,25252,25252,25252,10,안산,안산수산,25252,2026-08-10
2026-07-09,뱀장어,1,자연산 상,25253,25253,25253,30,안산,안산수산,25253,2026-08-10
2026-07-10,뱀장어,1,보통,21900,21900,21900,40,대전노은,대전노은진영수산,21900,2026-08-10
2026-07-11,뱀장어,1,자연산 상,24250,24250,24250,10,안산,안산수산,24250,2026-08-10
2026-07-13,뱀장어,1,자연산 상,24243,24243,24243,80,안산,안산수산,24243,2026-08-10
2026-07-14,뱀장어,400,자연산 상,9263150,9263150,9263150,400,안산,안산수산,23158,2026-08-10
2026-07-14,뱀장어,1,자연산 상,24243,24243,24243,30,안산,안산수산,24243,2026-08-10
2026-07-15,뱀장어,1,자연산 상,24242,24242,24242,20,안산,안산수산,24242,2026-08-10
2026-07-16,뱀장어,1,보통,26600,26600,26600,10,대전노은,대전노은진영수산,26600,2026-08-10
2026-07-17,뱀장어,1,자연산 상,24242,24242,24242,10,안산,안산수산,24242,2026-08-10
2026-07-20,뱀장어,1,보통,26600,26600,26600,20,대전노은,대전노은진영수산,26600,2026-08-10
2026-07-20,뱀장어,1,자연산 상,24242,24242,24242,10,안산,안산수산,24242,2026-08-10
2026-07-22,뱀장어,1,자연산 상,24242,24242,24242,20,안산,안산수산,24242,2026-08-10
2026-07-23,뱀장어,1,자연산 상,24242,24242,24242,10,안산,안산수산,24242,2026-08-10
2026-07-24,뱀장어,1,보통,21567,20900,21900,40,대전노은,대전노은진영수산,21567,2026-08-10
2026-07-24,뱀장어,500,자연산 상,10526310,10526310,10526310,500,안산,안산수산,21053,2026-08-10
2026-07-24,뱀장어,1,자연산 상,24241,24241,24241,10,안산,안산수산,24241,2026-08-10
2026-07-27,뱀장어,1,보통,26600,26600,26600,15,대전노은,대전노은진영수산,26600,2026-08-10
2026-07-28,뱀장어,1,자연산 상,24242,24242,24242,20,안산,안산수산,24242,2026-08-10
2026-07-29,뱀장어,1,자연산 상,24242,24242,24242,10,안산,안산수산,24242,2026-08-10
2026-07-31,뱀장어,1,보통,21900,21900,21900,50,대전노은,대전노은진영수산,21900,2026-08-10
2026-07-31,뱀장어,1,자연산 상,24246,24246,24246,10,안산,안산수산,24246,2026-08-10
2026-08-01,뱀장어,1,자연산 상,24243,24243,24243,40,안산,안산수산,24243,2026-08-10
2026-08-05,뱀장어,1,보통,26600,26600,26600,10,대전노은,대전노은진영수산,26600,2026-08-10
2026-08-06,뱀장어,1,자연산 상,24243,24242,24243,50,안산,안산수산,24243,2026-08-10
2026-08-07,뱀장어,1,보통,21900,21900,21900,60,대전노은,대전노은진영수산,21900,2026-08-10
2026-08-07,뱀장어,400,자연산 상,9263150,9263150,9263150,400,안산,안산수산,23158,2026-08-10
2026-08-07,뱀장어,1,자연산 상,24242,24242,24242,20,안산,안산수산,24242,2026-08-10
2026-08-08,뱀장어,500,자연산 상,10526310,10526310,10526310,500,안산,안산수산,21053,2026-08-10
2026-08-08,뱀장어,1,자연산 상,24242,24242,24242,10,안산,안산수산,24242,2026-08-10
2026-08-10,뱀장어,1,보통,26600,26600,26600,10,대전노은,대전노은진영수산,26600,2026-08-11
2026-08-11,뱀장어,1,보통,26600,26600,26600,5,대전노은,대전노은진영수산,26600,2026-08-12
